Centro,Material,Ctd.en UM entrada,Clase de movimiento,Fe.contabilización
KN00,00572MX295,-1,702,20/06/2022
KN00,00572MX295,1,701,29/01/2012
KN00,01230FM48020,9,701,08/02/2024
KN00,01230FM48020,2,701,31/01/2021
KN00,01230FM48020,1,701,26/01/2020
KN00,01230FM48020,-4,702,20/01/2019
KN00,01230FM48020,-5,702,11/02/2018
KN00,01230FM48020,2,701,11/05/2017
KN00,01230FM48020,3,701,03/05/2017
KN00,01230FM48020,1,701,13/03/2016
KN00,01230FM48A020,-2,702,23/02/2025
KN00,01230FM48A020,-16,702,11/02/2024
KN00,01230FM48A020,-2,702,26/01/2020
KN00,01230FS48020,1,701,26/01/2020
KN00,01230FS48020,3,701,20/01/2019
KN00,01230FS48A020,-6,702,19/10/2023
KN00,01230FS48A020,-1,702,11/12/2022
KN00,01231FM48020,-2,702,31/01/2021
KN00,01231FM48020,-8,702,20/01/2019
KN00,01231FM48020,-1,702,11/02/2018
KN00,01231FM48020,-3,702,03/05/2017
KN00,01231FM48020,3,701,19/02/2017
KN00,01231FM48A020,1,701,23/02/2025
KN00,01231FM48A020,-6,702,11/12/2022
KN00,01231FM48A020,1,701,26/01/2020
KN00,01231FS48020,1,701,11/02/2024
KN00,01231FS48020,4,701,19/10/2023
KN00,01231FS48020,-1,702,11/02/2018
KN00,01231FS48020,-2,702,11/05/2017
KN00,01231FS48020,-2,702,13/03/2016
KN00,01231FS48A020,-8,702,11/02/2024
KN00,01231FS48A020,-4,702,19/10/2023
KN00,01247FM38020,4,701,25/04/2017
KN00,01650FM30020,-1,702,11/02/2018
KN00,01650FM30020,1,701,19/02/2017
KN00,017110MN040,-2,702,26/11/2021
KN00,017110MN040,2,701,19/02/2017
KN00,017110MN060,-1,702,19/02/2017
KN00,017110MN060,1,701,26/01/2014
KN00,01728155G,-2,702,11/02/2024
KN00,01728155G,2,701,11/12/2022
KN00,01728155G,-2,702,31/07/2011
KN00,01850FP60020,-1,702,19/02/2017
KN00,01CPEX,2,701,08/03/2015
KN00,01CPEX,-1,702,29/01/2012
KN00,01CPEX,6,701,31/07/2011
KN00,01GPEX,4,701,11/02/2024
KN00,01GPEX,-1,702,11/02/2018
KN00,01GPEX,-2,702,19/02/2017
KN00,01GPEX,1,701,13/03/2016
KN00,01GPEX,4,701,31/07/2011
KN00,01PEX13,-1,702,26/01/2020
KN00,01PEX13,-1,702,19/02/2017
KN00,01PEX13,1,701,27/01/2013
KN00,01PEX13,-1,702,31/07/2011
KN00,01PEX19,1,701,08/03/2015
KN00,01PEX19,1,701,26/01/2014
KN00,01PEX19,-1,702,27/01/2013
KN00,01PEX19,2,701,31/07/2011
KN00,210,24,701,22/01/2014
KN00,213,-1,702,29/06/2024
KN00,213,1,701,11/12/2022
KN00,213,-1,702,26/01/2020
KN00,213,2,701,19/02/2017
KN00,213,-2,702,08/03/2015
KN00,213,2,701,26/01/2014
KN00,213,2,701,07/01/2014
KN00,219,7,701,22/01/2014
KN00,225,4,701,10/03/2014
KN00,225,-6,702,26/01/2014
KN00,232,1,701,11/12/2022
KN00,232,1,701,31/01/2021
KN00,232,-1,702,26/01/2020
KN00,232,-1,702,19/02/2017
KN00,232,4,701,26/01/2014
KN00,232,-1,702,27/01/2013
KN00,232,-1,702,29/01/2012
KN00,232,1,701,31/07/2011
KN00,238,-1,702,26/01/2014
KN00,264,1,701,10/03/2014
KN00,264,2,701,20/01/2014
KN00,264,-3,702,27/01/2013
KN00,264,3,701,02/02/2012
KN00,264,-3,702,29/01/2012
KN00,02TP,-1,702,08/03/2015
KN00,02TP,1,701,31/01/2013
KN00,02TP,-1,702,29/01/2012
KN00,02TP,2,701,15/09/2011
KN00,02TP,-2,702,31/07/2011
KN00,02TP,1,701,24/06/2011
KN00,301082,3,701,26/01/2020
KN00,301082,-1,702,20/01/2019
KN00,301082,1,701,13/03/2016
KN00,301082,-1,702,26/01/2014
KN00,301082,2,701,27/01/2013
KN00,301082,-4,702,29/01/2012
KN00,301082,5,701,31/07/2011
KN00,301168,3,701,31/01/2021
KN00,301168,1,701,26/01/2020
KN00,301168,2,701,22/01/2020
KN00,301168,3,701,03/04/2019
KN00,301168,-1,702,29/03/2019
KN00,301168,1,701,20/11/2016
KN00,301168,-1,702,13/03/2016
KN00,301168,1,701,26/01/2014
KN00,301168,12,701,27/01/2013
KN00,301168,-11,702,29/01/2012
KN00,301168,3,701,31/07/2011
KN00,302389,1,701,23/02/2025
KN00,302389,-1,702,29/06/2024
KN00,302389,3,701,11/02/2024
KN00,302389,1,701,09/01/2024
KN00,302389,-5,702,20/12/2021
KN00,302389,1,701,31/01/2021
KN00,302389,-3,702,11/02/2018
KN00,302389,1,701,26/01/2014
KN00,302389,5,701,27/01/2013
KN00,302389,-3,702,29/01/2012
KN00,302390,-2,702,09/09/2025
KN00,302390,-3,702,20/12/2021
KN00,302390,3,701,13/07/2021
KN00,302390,-10,702,31/01/2021
KN00,302390,1,701,20/01/2019
KN00,302390,1,701,13/03/2016
KN00,302390,-1,702,08/03/2015
KN00,302390,1,701,26/01/2014
KN00,302390,-1,702,27/01/2013
KN00,302390,1,701,22/03/2012
KN00,302390,6,701,29/01/2012
KN00,302390,-10,702,31/07/2011
KN00,0305118PK,-2,702,11/12/2022
KN00,0305118PK,2,701,27/01/2022
KN00,0305118PK,-2,702,31/01/2021
KN00,0305118PK,3,701,26/01/2020
KN00,0305118PK,3,701,11/02/2018
KN00,0305118PK,-3,702,19/02/2017
KN00,0305118PK,1,701,20/11/2016
KN00,305125,-1,702,09/09/2025
KN00,305125,2,701,23/02/2025
KN00,305125,-2,702,29/06/2024
KN00,305125,8,701,12/01/2023
KN00,305125,-11,702,16/02/2022
KN00,305125,11,701,26/01/2020
KN00,305125,-11,702,20/01/2019
